0.90600 0.000141131897624461
1.21300 6.61927119979814e-05
1.62410 7.43762918368969e-05
2.17450 4.16155323746765e-05
2.91130 5.29830486617248e-05
3.89810 2.92250904457692e-05
5.21980 2.28668761354565e-05
6.98950 1.58256533413385e-05
9.35760 1.3513088574434e-05
12.52730 8.73731392740903e-06
16.76870 7.48668110193542e-06
22.44180 5.53582968911638e-06
30.03040 4.65552383022172e-06
40.17370 2.072447924164e-06
53.71750 2.10416820664906e-06
71.74830 9.52391230256095e-08
95.49970 2.14854979373336e-07
125.25020 2.66001961188928e-07
160.33140 5.20654950379091e-07
211.73030 4.60700819914077e-07
296.49320 7.33140296119161e-08
0.90600 1.61013329094641e-05
1.21300 -1.20874168975916e-05
1.62410 -7.57992395843002e-06
2.17450 2.59970408807548e-05
2.91130 1.06735600033796e-05
3.89810 1.73808750836637e-05
5.21980 4.60656557907447e-06
6.98950 1.30557862610697e-05
9.35760 7.76016140833105e-06
12.52730 9.64269837086754e-06
16.76870 4.65159506013614e-06
22.44180 5.24071065148983e-06
30.03040 2.95887162800987e-06
40.17370 2.90090376495553e-06
53.71750 1.33177862269162e-06
71.74830 7.07461443472759e-07
95.49970 2.04817485448998e-06
125.25020 1.24004874605718e-06
160.33140 6.24723047058215e-07
211.73030 -4.66974538220516e-07
296.49320 7.811069423195e-07
