 12   1
 7.3275505329E-06  3.8561794842E-06 1.000327   31
 7.7585521920E-06  3.1815744969E-06 1.000491   44
 2.3871699213E-07  2.8654270458E-06 1.000039   56
 7.4092532373E-06  2.4176357239E-06 1.000103   69
 9.1049601827E-07  2.0770510131E-06 0.999772   82
 2.8876320424E-06  1.9744944846E-06 1.000052   94
 4.3447871070E-06  1.3318511484E-06 1.000115  111
 2.4740725933E-06  1.1695951403E-06 1.000312  130
 1.2550180748E-06  1.0670784083E-06 1.000241  150
 2.8543422851E-06  9.9292192107E-07 1.000217  170
 5.8805634927E-08  9.3012448364E-07 1.000397  190
 1.9881106550E-06  5.7689447159E-07 1.000509  221
  1.48701e-11 -1.13406e-12 -9.14046e-14 -8.48379e-14 -4.46416e-14 -3.20462e-14 -1.51565e-14 -8.71940e-15 -4.34739e-15 -2.76535e-15 -2.40797e-15 -2.20965e-15
 -1.13406e-12  1.01224e-11 -8.58844e-13 -6.33772e-14 -5.91421e-14 -3.01650e-14 -1.78365e-14 -1.10088e-14 -5.84538e-15 -3.30356e-15 -3.40203e-15 -1.86423e-15
 -9.14046e-14 -8.58844e-13  8.21067e-12 -6.16357e-13 -5.86833e-14 -4.36544e-14 -2.55126e-14 -1.11904e-14 -5.44072e-15 -4.19950e-15 -2.26667e-15 -1.18811e-15
 -8.48379e-14 -6.33772e-14 -6.16357e-13  5.84496e-12 -4.38818e-13 -3.77730e-14 -3.01160e-14 -1.71636e-14 -7.53975e-15 -4.19756e-15 -2.61244e-15 -1.56568e-15
 -4.46416e-14 -5.91421e-14 -5.86833e-14 -4.38818e-13  4.31414e-12 -3.61289e-13 -3.36538e-14 -1.79083e-14 -9.75466e-15 -5.57706e-15 -2.45241e-15 -1.21353e-15
 -3.20462e-14 -3.01650e-14 -4.36544e-14 -3.77730e-14 -3.61289e-13  3.89863e-12 -1.99916e-13 -1.94166e-14 -1.04788e-14 -8.33546e-15 -3.98184e-15 -1.64014e-15
 -1.51565e-14 -1.78365e-14 -2.55126e-14 -3.01160e-14 -3.36538e-14 -1.99916e-13  1.77383e-12 -1.07528e-13 -1.56745e-14 -9.07708e-15 -5.36080e-15 -2.44219e-15
 -8.71940e-15 -1.10088e-14 -1.11904e-14 -1.71636e-14 -1.79083e-14 -1.94166e-14 -1.07528e-13  1.36795e-12 -8.67533e-14 -1.36949e-14 -7.82176e-15 -3.50219e-15
 -4.34739e-15 -5.84538e-15 -5.44072e-15 -7.53975e-15 -9.75466e-15 -1.04788e-14 -1.56745e-14 -8.67533e-14  1.13866e-12 -7.66830e-14 -1.09600e-14 -4.81089e-15
 -2.76535e-15 -3.30356e-15 -4.19950e-15 -4.19756e-15 -5.57706e-15 -8.33546e-15 -9.07708e-15 -1.36949e-14 -7.66830e-14  9.85894e-13 -6.43760e-14 -7.91394e-15
 -2.40797e-15 -3.40203e-15 -2.26667e-15 -2.61244e-15 -2.45241e-15 -3.98184e-15 -5.36080e-15 -7.82176e-15 -1.09600e-14 -6.43760e-14  8.65132e-13 -3.19487e-14
 -2.20965e-15 -1.86423e-15 -1.18811e-15 -1.56568e-15 -1.21353e-15 -1.64014e-15 -2.44219e-15 -3.50219e-15 -4.81089e-15 -7.91394e-15 -3.19487e-14  3.32807e-13
