        0.0000000007        0.0100000000        0.0047668159
        0.0100000000        0.0200000000        0.0051907531
        0.0200000000        0.0300000000        0.0056003191
        0.0300000000        0.0400000000        0.0059921728
        0.0400000000        0.0500000000        0.0063705176
        0.0500000000        0.0600000000        0.0067561325
        0.0600000000        0.0700000000        0.0072040724
        0.0700000000        0.0800000000        0.0078366313
        0.0800000000        0.0900000000        0.0089000996
        0.0900000000        0.1000000000        0.0108557963
        0.1000000000        0.1100000000        0.0152940596
        0.1100000000        0.1200000000        0.0225679231
        0.1200000000        0.1300000000        0.0325249997
        0.1300000000        0.1400000000        0.0458290870
        0.1400000000        0.1500000000        0.0635694143
        0.1500000000        0.1600000000        0.0618710439
        0.1600000000        0.1700000000        0.0866422539
        0.1700000000        0.1800000000        0.1363303674
        0.1800000000        0.1900000000        0.2830290039
        0.1900000000        0.2000000000        0.7143324026
        0.2000000000        0.2100000000        1.8882565076
        0.2100000000        0.2200000000        2.9157489755
        0.2200000000        0.2300000000        3.8518586017
        0.2300000000        0.2400000000        4.4149583776
        0.2400000000        0.2500000000        4.5805553567
        0.2500000000        0.2600000000        4.6611170220
        0.2600000000        0.2700000000        4.6242527514
        0.2700000000        0.2800000000        4.9395708920
        0.2800000000        0.2900000000        5.4697910570
        0.2900000000        0.3000000000        5.8954581418
        0.3000000000        0.3100000000        5.9750760420
        0.3100000000        0.3200000000        5.6536592710
        0.3200000000        0.3300000000        5.1235874619
        0.3300000000        0.3400000000        4.6217910765
        0.3400000000        0.3500000000        4.3530438124
        0.3500000000        0.3600000000        4.7522163261
        0.3600000000        0.3700000000        4.7369175886
        0.3700000000        0.3800000000        4.4933076956
        0.3800000000        0.3900000000        3.9274785170
        0.3900000000        0.4000000000        3.1150503379
        0.4000000000        0.4100000000        2.7258837096
        0.4100000000        0.4200000000        1.7524406607
        0.4200000000        0.4300000000        1.1193449226
        0.4300000000        0.4400000000        0.7311776804
        0.4400000000        0.4500000000        0.4641384307
        0.4500000000        0.4600000000        0.2651057362
        0.4600000000        0.4700000000        0.1383561839
        0.4700000000        0.4800000000        0.0646636274
        0.4800000000        0.4900000000        0.0265766903
        0.4900000000        0.5000000000        0.0096157403
        0.5000000000        0.5100000000        0.0973169053
        0.5100000000        0.5200000000        0.0430434835
        0.5200000000        0.5300000000        0.0173622270
        0.5300000000        0.5400000000        0.0063808037
        0.5400000000        0.5500000000        0.0021367710
        0.5500000000        0.5600000000        0.1861946654
        0.5600000000        0.5700000000        0.1407346193
        0.5700000000        0.5800000000        0.1087209741
        0.5800000000        0.5900000000        0.0853983449
        0.5900000000        0.6000000000        0.0678112371
        0.6000000000        0.6100000000        0.0912097160
        0.6100000000        0.6200000000        0.0652202639
        0.6200000000        0.6300000000        0.0462363093
        0.6300000000        0.6400000000        0.0325229048
        0.6400000000        0.6500000000        0.0227202479
        0.6500000000        0.6600000000        0.0157784943
        0.6600000000        0.6700000000        0.0109019583
        0.6700000000        0.6800000000        0.0074990174
        0.6800000000        0.6900000000        0.0051373261
        0.6900000000        0.7000000000        0.0035056511
        0.7000000000        0.7100000000        0.0081646785
        0.7100000000        0.7200000000        0.0055605807
        0.7200000000        0.7300000000        0.0037626504
        0.7300000000        0.7400000000        0.0025294375
        0.7400000000        0.7500000000        0.0016889601
