 10   2
 2.0988812463E-03  5.5697731664E-04 0.937946    3    4
 2.0334504008E-03  2.5054146061E-04 0.947832    5    7
 5.1674738867E-04  8.6816570908E-05 0.970638   11   14
 3.5485617275E-04  3.1640026866E-05 0.980364   19   23
 2.2847506492E-04  1.4384439167E-05 1.000840   30   35
 1.3082169486E-04  7.8785318392E-06 0.999458   42   48
 9.3040141567E-05  5.5146540704E-06 1.000406   54   60
 5.9515454251E-05  3.9392115023E-06 0.998606   66   72
 4.8615860551E-05  3.0596931399E-06 0.998255   79   85
 3.7967759008E-05  2.6537936803E-06 0.997641   91   97
  3.10224e-07 -8.74367e-09 -2.75847e-10 -5.01606e-11 -1.60175e-11 -4.96037e-13 -3.82117e-13  2.13156e-12 -1.79423e-12 -2.27823e-14
 -8.74367e-09  6.27710e-08 -1.27297e-09 -9.02629e-12 -6.21176e-12 -1.44517e-13 -1.18635e-12 -4.70639e-13 -1.47077e-13 -2.06292e-13
 -2.75847e-10 -1.27297e-09  7.53712e-09 -9.26518e-11 -3.24197e-12 -1.93912e-12 -2.57308e-13 -4.01906e-13 -6.35512e-14 -6.47043e-14
 -5.01606e-11 -9.02629e-12 -9.26518e-11  1.00109e-09 -1.70705e-11 -7.28039e-13 -3.87006e-13 -1.09911e-13 -3.68534e-14 -2.33821e-14
 -1.60175e-11 -6.21176e-12 -3.24197e-12 -1.70705e-11  2.06912e-10 -4.08273e-12 -2.86346e-13 -1.31227e-13 -6.66968e-14 -3.58506e-14
 -4.96037e-13 -1.44517e-13 -1.93912e-12 -7.28039e-13 -4.08273e-12  6.20713e-11 -1.55037e-12 -1.27838e-13 -4.93393e-14 -2.89060e-14
 -3.82117e-13 -1.18635e-12 -2.57308e-13 -3.87006e-13 -2.86346e-13 -1.55037e-12  3.04114e-11 -7.72175e-13 -6.52339e-14 -2.84463e-14
  2.13156e-12 -4.70639e-13 -4.01906e-13 -1.09911e-13 -1.31227e-13 -1.27838e-13 -7.72175e-13  1.55174e-11 -4.38843e-13 -4.33728e-14
 -1.79423e-12 -1.47077e-13 -6.35512e-14 -3.68534e-14 -6.66968e-14 -4.93393e-14 -6.52339e-14 -4.38843e-13  9.36172e-12 -3.02997e-13
 -2.27823e-14 -2.06292e-13 -6.47043e-14 -2.33821e-14 -3.58506e-14 -2.89060e-14 -2.84463e-14 -4.33728e-14 -3.02997e-13  7.04262e-12
