 18   2
 7.2568944731E-05  1.6816251023E-05 1.006453    7   10
 5.3310241456E-05  8.5915383598E-06 1.003040   16   22
 5.7966743586E-05  6.2386063713E-06 0.996135   29   34
 3.5653590430E-05  4.1804557894E-06 0.995119   41   47
 2.2334362339E-05  3.3045443591E-06 0.990879   54   59
 2.9101141661E-05  2.6306436304E-06 1.002786   66   72
 2.1018181931E-05  2.0090594494E-06 1.001225   79   85
 1.5495798461E-05  1.7207662286E-06 1.005138   91   97
 1.5723075385E-05  1.0745195986E-06 0.999648  106  116
 1.1991095831E-05  8.2977076730E-07 1.000786  126  135
 1.0324524237E-05  6.6741615790E-07 0.999671  146  155
 7.2076631576E-06  5.4184963950E-07 1.000202  166  175
 7.2013612413E-06  4.5770396906E-07 0.999435  186  195
 5.4338123359E-06  2.4814649917E-07 1.000147  212  231
 4.0641135530E-06  1.9898696892E-07 1.001071  252  271
 3.6316254339E-06  1.7020712003E-07 1.001201  291  310
 3.0807811638E-06  1.4848764194E-07 1.001158  331  350
 2.6344277093E-06  1.2995104506E-07 1.001430  371  390
  2.82786e-10 -1.33355e-11 -1.01045e-12 -6.69357e-13 -2.57760e-13 -1.18837e-13 -5.22560e-14 -1.72126e-14 -3.06309e-14  5.22234e-16 -3.20423e-15 -2.16970e-15 -4.74998e-15 -1.40249e-15  4.97791e-17  2.47710e-16  1.44693e-16 -9.84540e-17
 -1.33355e-11  7.38145e-11 -4.58279e-12 -4.99802e-13 -2.59087e-13 -1.19245e-13 -6.21700e-14 -2.51886e-14 -5.06640e-15 -9.16300e-15 -4.12193e-15 -1.65210e-15 -8.51403e-16 -6.98128e-16 -1.42501e-16 -4.07202e-18 -4.21440e-16 -2.40332e-16
 -1.01045e-12 -4.58279e-12  3.89202e-11 -2.16729e-12 -1.95926e-13 -1.30373e-13 -8.33029e-14 -2.77190e-14 -1.63657e-14 -5.23605e-15 -4.11607e-15 -2.48043e-15 -1.07029e-15 -6.99004e-16 -1.13443e-16 -1.44836e-16 -1.82423e-16 -1.70266e-16
 -6.69357e-13 -4.99802e-13 -2.16729e-12  1.74762e-11 -1.22561e-12 -1.00293e-13 -7.26478e-14 -3.83781e-14 -1.37562e-14 -6.73122e-15 -5.11878e-15 -2.42742e-15 -1.29125e-15 -4.35297e-16 -2.56678e-16 -1.90839e-16 -8.56019e-17 -7.43298e-17
 -2.57760e-13 -2.59087e-13 -1.95926e-13 -1.22561e-12  1.09200e-11 -7.72721e-13 -5.33966e-14 -3.68903e-14 -1.76984e-14 -7.94531e-15 -2.00295e-15 -1.39121e-15 -6.46019e-16 -7.03200e-16 -3.43539e-16 -1.70837e-16 -5.98735e-17 -6.42495e-17
 -1.18837e-13 -1.19245e-13 -1.30373e-13 -1.00293e-13 -7.72721e-13  6.92029e-12 -4.44779e-13 -3.55945e-14 -2.84686e-14 -9.01981e-15 -3.26980e-15 -2.40005e-15 -1.09086e-15 -5.61817e-16 -5.01262e-16 -1.03995e-16 -8.72102e-17 -2.24012e-17
 -5.22560e-14 -6.21700e-14 -8.33029e-14 -7.26478e-14 -5.33966e-14 -4.44779e-13  4.03632e-12 -3.09062e-13 -2.56362e-14 -1.20817e-14 -5.26742e-15 -1.67167e-15 -6.71128e-16 -3.82427e-16 -3.01888e-16 -1.86961e-16 -8.87041e-17  3.59565e-18
 -1.72126e-14 -2.51886e-14 -2.77190e-14 -3.83781e-14 -3.68903e-14 -3.55945e-14 -3.09062e-13  2.96104e-12 -1.31768e-13 -1.26711e-14 -4.89037e-15 -2.52986e-15 -1.09835e-15 -5.36720e-16 -2.61678e-16 -1.85561e-16 -1.27497e-16 -8.35188e-17
 -3.06309e-14 -5.06640e-15 -1.63657e-14 -1.37562e-14 -1.76984e-14 -2.84686e-14 -2.56362e-14 -1.31768e-13  1.15459e-12 -6.06354e-14 -8.39918e-15 -3.29707e-15 -1.97533e-15 -6.73716e-16 -1.94869e-16 -1.23562e-16 -7.63499e-17 -2.57212e-17
  5.22234e-16 -9.16300e-15 -5.23605e-15 -6.73122e-15 -7.94531e-15 -9.01981e-15 -1.20817e-14 -1.26711e-14 -6.06354e-14  6.88520e-13 -3.71431e-14 -5.27048e-15 -2.16857e-15 -8.37791e-16 -1.27541e-16 -1.23719e-16 -1.13006e-16 -3.79130e-17
