  1.73    0.56445E-04    0.94806E-04    0.92860E-04    0.12110E-03    0.18062E-05   -0.30761E-04    0.97226E-04    0.81309E-04    0.11618E-04   -0.50848E-04    0.59701E-04   -0.23890E-03    0.15655E-04    0.87616E-04    0.29032E-03    0.16628E-04    0.80285E-04    0.22717E-03   -0.33138E-03    0.97606E-04    0.32566E-03
  3.75    0.19946E-03   -0.46888E-04   -0.29184E-04   -0.38959E-04   -0.25764E-05    0.67855E-04   -0.47349E-05    0.37733E-04    0.46931E-04   -0.28244E-04    0.71093E-05    0.74578E-04    0.53971E-04   -0.34776E-04    0.30349E-04    0.38092E-04    0.53018E-04    0.12446E-03    0.52529E-04    0.70270E-04    0.11457E-04
  8.14    0.15516E-03    0.50723E-05   -0.10615E-06   -0.14842E-04    0.41117E-05   -0.20182E-04    0.34315E-04    0.70731E-05   -0.75513E-05    0.88283E-05   -0.34521E-05    0.12794E-04   -0.13349E-04   -0.23150E-04    0.20511E-04    0.89639E-05    0.14565E-04    0.17044E-04    0.11081E-03    0.42474E-04    0.19250E-03
 17.64    0.32661E-04    0.14796E-04    0.86198E-05   -0.13909E-04    0.44707E-06    0.37357E-04    0.27140E-05    0.10946E-04   -0.83280E-05   -0.21454E-04   -0.11174E-05    0.28516E-04   -0.23043E-05    0.80504E-05    0.29269E-05    0.47787E-04    0.17518E-04    0.12320E-04    0.10455E-05    0.22062E-04    0.72302E-04
 37.98    0.11605E-04   -0.17954E-05    0.24184E-05   -0.15153E-05   -0.15970E-04    0.67448E-05    0.12609E-04   -0.52570E-05    0.21258E-06   -0.73299E-05   -0.40782E-05    0.34207E-04    0.10196E-05    0.34358E-05   -0.39797E-05    0.50554E-05    0.11878E-04    0.54554E-05   -0.13069E-04    0.15790E-04    0.15099E-05
  1.73   -0.10870E-03   -0.13503E-03   -0.88198E-04    0.48166E-04   -0.39272E-04    0.25533E-03   -0.26987E-03   -0.11312E-03   -0.17057E-04    0.12458E-03   -0.69226E-04    0.54402E-03    0.11511E-03   -0.37280E-04    0.10603E-03   -0.53929E-03   -0.93175E-04    0.14132E-03   -0.11804E-03    0.15277E-03    0.12929E-04
  3.75   -0.65077E-04   -0.21628E-04    0.88721E-04   -0.15714E-04   -0.54207E-04    0.34176E-04    0.32273E-04    0.13191E-04    0.43657E-04    0.12997E-05    0.21462E-04    0.21944E-03    0.55568E-05    0.56854E-05    0.40744E-04    0.21515E-03    0.43158E-04    0.18046E-04    0.15039E-04    0.68129E-04    0.12978E-03
  8.14   -0.38276E-04    0.30474E-04   -0.21645E-07    0.12791E-04    0.17441E-04   -0.23455E-04   -0.14733E-03    0.86898E-05    0.54441E-05    0.14553E-04    0.13828E-04    0.15284E-06    0.50913E-04   -0.11799E-04    0.16607E-04    0.39849E-05    0.34092E-04    0.69307E-05   -0.61082E-04    0.46180E-05    0.56579E-05
 17.64    0.37864E-04   -0.89824E-05   -0.46333E-05   -0.28357E-05   -0.19632E-04    0.29385E-05    0.10148E-04   -0.85107E-05   -0.50248E-05    0.13477E-04    0.55500E-05   -0.35234E-04    0.10859E-04   -0.51632E-05    0.14030E-04    0.22015E-04    0.11573E-04    0.84570E-05    0.37485E-04    0.16763E-04   -0.57910E-06
 37.98    0.66463E-05   -0.21060E-05   -0.17558E-06    0.26248E-05    0.44706E-05    0.22235E-05    0.26484E-04    0.93263E-05   -0.55321E-06    0.19484E-05    0.23928E-05   -0.38528E-05   -0.22109E-05    0.52971E-05    0.30622E-05   -0.28544E-04    0.13101E-05    0.61612E-05    0.53950E-05    0.76606E-05    0.37421E-04
