 1 6 -3.8168556792115699E-02  1.5373586217518911E-01
 2 6 -4.1689680003550160E-02  1.1987554423378459E-01
 2 11  2.4588893456211104E-02  2.3093282052038824E-02
 3 6  2.1343745978699664E-02  9.0338866003361620E-02
 3 11  1.8126415291025225E-02  1.8075866119659424E-02
 4 6  7.3273175812058500E-02  6.7750226790748963E-02
 4 11  1.4137549767853419E-02  1.3902545833000260E-02
 5 18  9.4135957267499262E-03  4.7577470433539113E-03
 5 31 -4.5572834326418988E-04  2.3336061511340348E-03
 5 43 -1.4734421120278810E-03  1.3800637726703070E-03
 6 18  4.7310938672102190E-03  2.7786092638516498E-03
 6 31  3.9470477207469434E-03  1.4614294074298314E-03
 6 43 -3.0480366491589527E-05  8.8831432304083417E-04
 6 56  6.5893596595985326E-04  6.5004173800495659E-04
 6 68 -2.8655748976802307E-04  4.7878393874740456E-04
 7 18 -1.0737717812161513E-03  2.3380319287124906E-03
 7 31  7.1384597656395769E-04  1.1765044688605846E-03
 7 43  2.7948121517617553E-04  7.1897121378286944E-04
 7 56  2.0547438397195919E-04  5.4410725361747972E-04
 7 68 -3.1373136885094462E-04  4.0624219187003328E-04
 7 81  2.5109669015705192E-04  3.3587755151887614E-04
 7 94 -1.0864239744409588E-04  3.0743466348293757E-04
 7 110  2.8072417865625552E-04  2.0391812766754327E-04
 7 130  1.1056645661255096E-04  1.7465850245686489E-04
 8 18  1.6712821928403666E-03  2.0827940670293922E-03
 8 31  6.9203668724242891E-04  1.2010990885183788E-03
 8 43 -6.5684881994498411E-04  7.6960483153651294E-04
 8 56  7.0684686357755692E-04  6.0259947754072115E-04
 8 68  3.0663388246580903E-04  4.5610627183878316E-04
 8 81  5.1803817251123779E-04  3.7245545068221209E-04
 8 94  3.2699175511497218E-04  3.4217122474635239E-04
 8 110 -1.3417903451836175E-06  2.2474423671703703E-04
 8 130  9.8251739452512004E-05  1.9001190177054259E-04
 8 150  3.9427481261350867E-05  1.6510090072564411E-04
 8 170 -3.5186255002420423E-04  1.4492404648864832E-04
 9 6  3.5780871235514135E-02  1.3873473821813581E-02
 9 11  2.7104616055982334E-03  2.5945269252209465E-03
 9 20  1.7624396304369578E-03  8.7845504560842697E-04
 9 31  5.4967857496444038E-04  4.3062703124152455E-04
 9 43  2.1274619471496784E-05  2.6406491775455990E-04
 9 56  2.5235417874171695E-04  1.9678598103225421E-04
 9 68  5.6929468460782742E-05  1.4528577583436462E-04
